parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
EGCG,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
EMB-3,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Asiaticoside,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Glabridin,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
EMB-3,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Curcumin,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
EGCG,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Glabridin,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Asiaticoside,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Embelin,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Embelin,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
EMB-3,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Asiaticoside,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Glabridin,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
EGCG,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
Curcumin,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.262,2.782000000000001,2,4,58.92,0.873855730038245,0.6858557300382444
EMB-3,COc1cc(-c2ccc(O)c(OC)c2)ccc1O,246.262,2.7820000000000014,2,4,58.92,0.873855730038245,0.6858557300382441
Asiaticoside,COc1cc(-c2ccc(O)c(OC)c2)ccc1O,246.262,2.7820000000000014,2,4,58.92,0.873855730038245,0.6858557300382441
